,index,ID,Name,Area (ha),Population,Forum/agoraarea(m2),Streetarea(m2),Streetlength(m),Streetwidth(m),Blockarea(m2)
0,0,14,Athenae,225,58114,25967.0,,,,
1,1,19,Cassope,18,1989,,27335.0,4522.0,7.0,9996.0
2,2,26,Corinthia,241,63700,15905.0,,,,
3,3,110,Alexandria,972,410535,75000.0,1072216.0,58399.0,21.0,140509.0
4,4,172,Carthago,343,102170,15000.0,,,,
5,5,194,Sabratha,35,4837,2148.0,26676.0,4057.0,7.0,2548.0
6,6,198,Sufetula,46,7037,1265.0,31819.0,3922.0,9.0,11828.0
7,7,207,Thuburbo Maius,25,3085,1380.0,,,,
8,8,210,Thugga,25,3085,792.0,,,,
9,9,211,Lindum,175,6034,,80869.0,9995.0,9.0,7768.0
10,10,223,Augusta Taurinorum,54,8633,,75709.0,10052.0,8.0,8992.0
11,11,225,Augusta Praetoria,41,5975,4889.0,72451.0,7379.0,11.0,8404.0
12,12,226,Forum Claudii,22,2655,2134.0,27576.0,2042.0,15.0,9758.0
13,13,248,Alabanda,69,11979,7179.0,,,,
14,14,254,Aphrodisias,84,15580,14978.0,135308.0,21634.0,7.0,3507.0
15,15,276,Ephesus,263,71587,21090.0,,,,
16,16,284,Hierapolis,77,13870,,58651.0,12073.0,6.0,4141.0
17,17,287,Iasus,34,4653,4376.0,,,,
18,18,288,Ilium,25,3085,,43265.0,6819.0,7.0,9742.0
19,19,298,Miletus,97,18882,29024.0,132666.0,22748.0,7.0,3751.0
20,20,303,Nysa,44,6567,9143.0,29863.0,5186.0,6.0,28005.0
21,21,305,Pergamum,219,56053,22845.0,,,,
22,22,315,Smyrna,194,47672,20000.0,,,,
23,23,329,Baelo,11,1030,1046.0,,,,
24,24,336,Corduba,99,19404,,146177.0,21517.0,8.0,6133.0
25,25,343,Iluro,10,907,,22497.0,3215.0,8.0,2135.0
26,26,347,Italica,49,7582,,83545.0,10204.0,9.0,4371.0
27,27,378,Nicaea,114,23429,,111157.0,11847.0,9.0,17310.0
28,28,385,Calleva,45,6767,1807.0,50114.0,7888.0,7.0,12858.0
29,29,386,Camulodunum,48,7376,,61880.0,6704.0,9.0,14787.0
30,30,387,Corinium,93,17849,7483.0,103162.0,7985.0,14.0,27766.0
31,31,392,Durovernum,59,9718,,51509.0,6470.0,8.0,62503.0
32,32,394,Glevum,52,8209,1829.0,,,,
33,33,395,Isca,37,5210,2094.0,32926.0,6056.0,6.0,8870.0
34,34,398,Lindum,41,6034,1331.0,,,,
35,35,399,Londinium,160,36851,9702.0,162663.0,13291.0,13.0,56509.0
36,36,404,Ratae,46,6969,,40485.0,3905.0,9.0,36871.0
37,37,405,Venta Belgarum,58,9498,2365.0,60002.0,8935.0,8.0,17254.0
38,38,407,Venta Silurum,18,1989,1016.0,22724.0,2887.0,9.0,12058.0
39,39,408,Verulamium,90,17084,5941.0,79307.0,9309.0,10.0,25437.0
40,40,409,Viroconium,82,15086,3759.0,,,,
41,41,429,Anazarbus,150,33807,,160090.0,12626.0,13.0,11235.0
42,42,500,Sarmizegetusa,32,4291,1187.0,,,,
43,43,525,Doclea,25,3104,2571.0,,,,
44,44,560,Anderitum,35,4837,,42022.0,7314.0,6.0,5406.0
45,45,567,Burdigala,86,16187,,75752.0,12166.0,7.0,24233.0
46,46,571,Lugdunum Convenarum,49,7582,3296.0,31276.0,6225.0,5.0,17720.0
47,47,576,Vesunna,48,4327,1259.0,,,,
48,48,580,Augusta Ambianorum,165,38476,,277294.0,23782.0,13.0,25210.0
49,49,587,Colonia Augusta Treverorum,131,28211,3797.0,350425.0,24699.0,17.0,14961.0
50,50,597,Agedincum,189,46171,,158752.0,20287.0,9.0,33175.0
51,51,602,Augustodunum,172,40666,,209238.0,13182.0,17.0,15572.0
52,52,613,Forum Segusiavorum,60,9938,2554.0,,,,
53,53,621,Lutetia,45,6767,6131.0,51805.0,5056.0,11.0,25313.0
54,54,624,Noviodunum,28,3590,,54510.0,7274.0,8.0,6216.0
55,55,645,Forum Iulii,49,7628,4783.0,97758.0,7770.0,15.0,5451.0
56,56,647,Glanum,32,4291,1434.0,,,,
57,57,652,Nemausus,175,41539,3026.0,,,,
58,58,654,Tolosa,91,17338,,46692.0,8260.0,6.0,15166.0
59,59,658,Vienna,83,6767,1563.0,,,,
60,60,660,Colonia Agrippinensis,75,13426,,109645.0,13056.0,9.0,14963.0
61,61,661,Colonia Ulpia Traiana,80,14596,,101045.0,8543.0,12.0,31359.0
62,62,668,Augusta Raurica,43,6368,2512.0,,,,
63,63,669,Aventicum,36,5022,,98708.0,7742.0,16.0,10461.0
64,64,671,Lopodunum,42,6171,2568.0,,,,
65,65,674,Noviodunum,6,2290,2504.0,32172.0,4236.0,9.0,3923.0
66,66,686,Baetulo,12,1157,,21996.0,4519.0,6.0,2350.0
67,67,691,Caesaraugusta,47,7172,983.0,,,,
68,68,693,Carthago Nova,58,9498,2334.0,,,,
69,69,696,Clunia,70,9327,10627.0,,,,
70,70,700,Emporiae,24,2922,2908.0,,,,
71,71,728,Segobriga,11,1030,1318.0,,,,
72,72,731,Tarraco,70,12211,3637.0,,,,
73,73,776,Vesunna,20,7401,,83426.0,5781.0,12.0,53784.0
74,74,784,Neapolis,82,15086,,134904.0,17728.0,9.0,27399.0
75,75,788,Ostia,154,35017,3788.0,177630.0,18475.0,9.0,25082.0
76,76,790,Pompeii,60,9938,4227.0,46827.0,10173.0,5.0,7995.0
77,77,792,Praeneste,44,6567,,33585.0,7219.0,5.0,7303.0
78,78,803,Surrentum,22,2601,,21731.0,4198.0,5.0,8181.0
79,79,812,Venafrum,27,3469,,65391.0,7267.0,10.0,11247.0
80,80,831,Herdoniae,19,2138,1635.0,,,,
81,81,845,Venusia,44,6567,,35719.0,6327.0,6.0,11043.0
82,82,856,Grumentum,33,4471,2797.0,69132.0,12384.0,6.0,12526.0
83,83,861,Paestum,126,26781,9071.0,160725.0,20621.0,12.0,77549.0
84,84,874,Alba Fucentia,33,4471,5218.0,24545.0,4259.0,6.0,10406.0
