,duration,count
0,100,33920
1,200,17658
2,50,15102
3,150,7542
4,300,5343
5,60,5176
6,1,4332
7,30,3471
8,40,2675
9,130,2652
10,80,2550
11,2,2046
12,70,2038
13,79,1725
14,28,1285
15,3,1150
16,6,1070
17,20,941
18,4,845
19,41,758
20,14,651
21,250,632
22,25,624
23,5,624
24,7,607
25,120,597
26,22,553
27,24,532
28,230,517
29,17,513
30,179,484
31,35,483
32,110,463
33,13,423
34,11,406
35,18,399
36,10,396
37,12,391
38,147,358
39,29,339
40,16,334
41,8,327
42,170,315
43,75,314
44,169,311
45,37,261
46,43,257
47,15,250
48,600,235
49,9,212
50,32,210
51,44,209
52,180,202
53,355,201
54,95,195
55,45,188
56,144,188
57,64,184
58,21,177
59,258,167
60,164,154
61,19,153
62,31,149
63,26,145
64,400,143
65,63,139
66,23,139
67,55,132
68,140,132
69,49,131
70,160,131
71,94,113
72,84,110
73,34,110
74,51,108
75,216,107
76,87,99
77,56,98
78,90,97
79,33,90
80,125,88
81,57,87
82,53,85
83,62,83
84,71,80
85,61,77
86,108,76
87,27,72
88,72,71
89,221,70
90,59,69
91,77,67
92,98,67
93,39,66
94,101,64
95,270,57
96,58,55
97,38,53
98,81,52
99,85,52
100,159,49
101,368,48
102,165,46
103,151,44
104,54,44
105,96,43
106,46,43
107,127,42
108,42,41
109,163,41
110,330,40
111,68,38
112,82,37
113,500,37
114,36,36
115,47,35
116,76,34
117,161,34
118,74,32
119,246,31
120,67,31
121,48,31
122,83,30
123,103,29
124,109,29
125,105,27
126,137,25
127,350,25
128,141,23
129,187,23
130,93,22
131,52,22
132,91,21
133,89,21
134,201,20
135,113,20
136,115,19
137,220,19
138,218,19
139,260,19
140,65,19
141,66,15
142,86,15
143,69,15
144,121,15
145,132,15
146,190,14
147,104,14
148,131,14
149,146,13
150,171,13
151,158,13
152,124,12
153,192,12
154,450,12
155,226,12
156,134,12
157,97,12
158,185,11
159,222,11
160,370,11
161,88,11
162,162,11
163,122,10
164,133,10
165,78,10
166,145,10
167,107,10
168,114,10
169,186,10
170,126,9
171,92,9
172,287,9
173,184,9
174,280,8
175,197,8
176,182,8
177,154,8
178,112,8
179,328,8
180,251,8
181,175,7
182,116,7
183,119,7
184,123,7
185,331,7
186,135,7
187,73,6
188,335,6
189,111,6
190,99,6
191,279,6
192,181,6
193,199,6
194,286,6
195,210,6
196,139,5
197,262,5
198,267,5
199,340,5
200,117,5
201,194,5
202,217,5
203,138,5
204,289,4
205,232,4
206,215,4
207,142,4
208,191,4
209,189,4
210,136,4
211,106,4
212,314,4
213,167,4
214,129,4
215,327,3
216,177,3
217,360,3
218,238,3
219,148,3
220,261,3
221,322,3
222,102,3
223,227,3
224,209,3
225,168,3
226,503,3
227,193,3
228,143,2
229,284,2
230,240,2
231,231,2
232,245,2
233,326,2
234,211,2
235,318,2
236,281,2
237,249,2
238,203,2
239,198,2
240,195,2
241,235,2
242,183,2
243,174,2
244,550,2
245,153,2
246,152,2
247,306,1
248,299,1
249,294,1
250,291,1
251,288,1
252,316,1
253,118,1
254,320,1
255,351,1
256,378,1
257,401,1
258,427,1
259,470,1
260,484,1
261,570,1
262,571,1
263,358,1
264,257,1
265,275,1
266,207,1
267,700,1
268,149,1
269,155,1
270,157,1
271,176,1
272,178,1
273,188,1
274,204,1
275,208,1
276,271,1
277,212,1
278,225,1
279,247,1
280,128,1
281,259,1
282,263,1
283,266,1
284,268,1
285,1909,1
