,Primary Key,Ancient Toponym,Modern Toponym,Province,Country,Barrington Atlas Rank,Barrington Atlas Reference,Start Date,End Date,Longitude (X),Latitude (Y),Select Bibliography,Area,Estimate Basis,Civic Status,Structure,num_of_structures
0,Hanson2016_1,Abae,Kalapodi,Achaea,Greece,4 or 5,55 D3,-600,,22.933332999999998,38.583333,BNP; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.,16.0,Walls,['Rights and privileges'],"['Acropolis', 'Agora', 'Temple of Apollo', 'Theatre', 'Walls']",5
1,Hanson2016_2,Acharnae,Acharnes,Achaea,Greece,3,59 B2,-600,,23.734088,38.083473,BNP; DGRG; PECS; Sear 2006.,,,,"['Sanctuary of Apollo Argyieus', 'Sanctuary of Hercules', 'Theatre']",3
2,Hanson2016_3,Acraephia,Akraifnio,Achaea,Greece,3,55 E4,-600,,23.219701999999998,38.452606,BNP; DGRG; Hansen and Nielsen 2004; PECS; Sear 2006.,,,,"['Acropolis', 'Agora', 'Fountain', 'Temple of Apollo Ptous', 'Temple of Dionysus', 'Theatre', 'Walls']",7
3,Hanson2016_4,Aegina,Aigina,Achaea,Greece,2,59 A3,-600,,23.4285,37.750074,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.,52.0,Inhabited area,['Rights and privileges'],"['Shrine of Aeacus', 'Stadium', 'Temple of Aphrodite', 'Temple of Apollo', 'Temple of Apollo Thearius', 'Theatre', 'Walls', 'Walls']",8
4,Hanson2016_5,Aegira,Aigeira,Achaea,Greece,3,58 C1,-600,,22.35572,38.147951,DGRG; Hansen and Nielsen 2004.,,,,"['Acropolis', 'Agora', 'Gymnasium', 'Temple of Aphrodite Urania', 'Temple of Apollo', 'Temple of Artemis', 'Temple of Zeus', 'Theatre']",8
5,Hanson2016_6,Aegium,Aigio,Achaea,Greece,3,58 C1,-600,,22.081951999999998,38.252707,BNP; DGRG; Hansen and Nielsen 2004; PECS; Sear 2006.,,,,"['Acropolis', 'Gymnasium', 'Sanctuary of Zeus Homagyrius or Homarius', 'Temple of Demeter Panchaea', 'Theatre', 'Walls']",6
6,Hanson2016_7,Ambracia,Arta,Achaea,Greece,3,54 C3,-635,-30.0,20.987,39.158,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.,130.0,Walls,,"['Acropolis', 'Agora?', 'Bridge', 'Temple', 'Temple', 'Theatre', 'Urban grid', 'Walls']",8
7,Hanson2016_8,Amphissa,Amfissa,Achaea,Greece,3,55 C3,-400,,22.378406,38.527328000000004,BNP; Hansen and Nielsen 2004; PECS.,,,['Rights and privileges'],"['Acropolis', 'Agora?', 'Temple of Athena', 'Walls']",4
8,Hanson2016_9,Anthedon,Anthedon,Achaea,Greece,3,55 E4,-400,,23.461481,38.497543,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS.,30.0,Walls,,"['Acropolis', 'Agora', 'Gymnasium', 'Harbour', 'Stoa', 'Temple of Demeter and Kore', 'Temple of Dionysus', 'Temple of the Cabeiri', 'Walls']",9
9,Hanson2016_10,Anticyra,Palatia,Achaea,Greece,3,55 D4,-400,,22.632895,38.377588,BNP; DGRG; Hansen and Nielsen 2004; PECS.,,,,"['Acropolis', 'Gymnasium', 'Sanctuary of Poseidon', 'Walls']",4
10,Hanson2016_11,Antigonia,Gjirokaster,Achaea,Albania,4 or 5,49 C3,-300,,20.221110999999997,40.105278000000006,BNP; Cohen 1995; DGRG; PECS.,45.0,Inhabited area,,"['Agora', 'Urban grid', 'Walls']",3
11,Hanson2016_12,Argos (Achaea) (1),Loutron,Achaea,Greece,4 or 5,54 D4,-600,,21.25,38.75,PECS; Sear 2006.,,,,"['Theatre', 'Walls']",2
