,occupation,count,category,translation
0,faber,658,Metal-Working,"a worker in wood, stone, metal, etc., a forger, smith, artificer, carpenter, joiner"
1,curator,389,Managerial,"he who takes charge, a manager, overseer, superintendent, keeper, commissioner, delegate"
2,medicus,248,Miscellaneous Services,a surgeon
3,aerarius,227,Metal-Working,metal worker
4,scriba,211,Education,"a public writer, official scribe, professional writer, clerk, secretary"
5,sagittarius,128,Metal-Working,"arrow-makers, arrow-smiths"
6,vexillarius,75,Miscellaneous Services,"a standard-bearer, maker"
7,mensor,74,Miscellaneous Services,"a measurer, surveyor"
8,negotiator,71,Retail,"one who does business by wholesale, a wholesale dealer, a banker, a factor"
9,dendrophorus,68,Building,a carpenter
10,argentarius,61,Metal-Working,"jewellery maker, banker"
11,vestiarius,48,Retail,a clothes-dealer
12,architectus,41,Building,"a master-builder, architect"
13,arcarius,37,Finance,"treasurer, a controller of public revenues"
14,scaenicus,34,Performing Arts,"of the stage, scenic, dramatic, theatrical"
15,gladiator,28,Performing Arts,gladiator
16,tignarius,27,Building,carpenter
17,negotians,26,Retail,trader
18,cornicen,26,Performing Arts,"a hornblower, trumpeter, cornet-player"
19,cocus,25,Food-Production,a cook 
20,sagarius,25,Retail,a dealer in mantles
21,ornatrix,25,Miscellaneous Services,"female adorner, dresser"
22,pistor,25,Food-Production,"one who pounds corn in a mortar or grinds it in a hand-mill, a miller, a baker"
23,vinarius,24,Food-Retail,"a wine-dealer, vintner"
24,unctor,24,Miscellaneous Services,an anointer
25,structor,24,Building,"a builder, mason, carpenter"
26,marmorarius,24,Building,marble worker
27,conditor,24,Food-Production,"cook, a seasoner, pickler"
28,lecticarius,24,Food-Production,a cook
29,horrearius,24,Managerial,the superintendent of a storehouse
30,navalis,23,Transport,"sailors, seamen"
31,mercator,23,Retail,trader
32,nummularius,23,Finance,a money-changer
33,fullo,21,Clothing,a cloth-fuller
34,nauta,21,Transport,"a sailor, seaman, mariner, merchant"
35,unguentarius,20,Miscellaneous Services,perfume or ointment maker
36,tonsor,19,Miscellaneous Services,"a shearer, clipper, shaver, hair-cutter, barber"
37,retiarius,18,Performing Arts,"a gladiator who used a net to entangle his adversary, net-fighter"
38,purpurarius,17,Clothing,purple colour dyer
39,possessor,17,Managerial,"a possessor, owner"
40,sarcinatrix,17,Clothing,"female patcher, botcher, mender of old garments"
41,armamentarius,16,Miscellaneous Services,"an arsenal provider, armory keeper"
42,lapidarius,16,Building,stone-cutter
43,topiarius,16,Miscellaneous Services,"gardener, landscaper"
44,sutor,15,Clothing,"a shoemaker, cobbler"
45,pictor,15,Plastic Arts,painter
46,aurifex,15,Metal-Working,goldsmith
47,scriptor,15,Managerial,"one who writes, a writer, scribe, copyist, clerk"
48,lanius,15,Food-Production,a butcher
49,pantomimus,14,Performing Arts,a ballet-dancer
50,margaritarius,14,Retail,"a dealer in pearls, a pearl-fisher"
51,scabillarius,14,Miscellaneous Services,"player of a footstool, cricket"
52,agrimensor,12,Miscellaneous Services,a landsurveyor
53,vascularius,12,Metal-Working,"a worker in metals, whitesmith, goldsmith"
54,venator,11,Miscellaneous Services,a hunter
55,cellarius,11,Household Goods,"one who keeps provisions, a steward, butler"
56,coactor,10,Clothing,felt producer or seller
57,copo,10,Miscellaneous Services,innkeeper
58,anularius,10,Metal-Working,maker of rings
59,codicarius,10,Transport,those who sail on such ships (esp. those who brought the corn from Ostia to Rome)
60,lanarius,10,Clothing,a worker in wool
61,tector,10,Building,"one that overlays walls with plaster, stucco, etc., a plasterer, pargeter"
62,aquarius,9,Water-Management,"fountain worker, of water, watery, water carrier"
63,scutarius,9,Miscellaneous Services,shield maker
64,parasitus,9,Performing Arts,"a player, actor"
65,quasillaria,9,Clothing,"a basketwench, spinning-girl"
66,pomarius,8,Food-Retail,"of fruit, of fruittrees seller"
67,dissignator,8,Managerial,"an undertaker, manager"
68,plumbarius,8,Metal-Working,"a plumber, lead worker"
69,capsarius,8,Miscellaneous Services,"healing asssitant, producer of capsae (a repository, box, bookcase)"
70,seplasiarius,8,Miscellaneous Services,anoitment maker and seller
71,clavicularius,8,Metal-Working,"A bar, bolt of the door maker, or guardian of a prison"
72,aurificus,8,Metal-Working,"goldworker, goldsmith"
73,redemptor,7,Food-Production,"a miller, bread-maker, baker"
