Term,gen_sg,Vocab_nom_sg,Source,Category,Subcategory,Translation_eng
abetarius,i,,Petrikovits 1981a,Building,Wood worker,"a joiner, wood worker"
abietarius,i,,Petrikovits 1981a,Building,Wood worker,"a joiner, wood worker"
acceptor,oris,acceptor,Waltzing - Rome,Finance,,"collector, gold quality checker"
accomodator,oris,,Petrikovits 1981a,Unclear meaning,,"uncertain, craftsman"
aceptor,oris,,Petrikovits 1981a,Finance,,"collector, gold quality checker"
aciscularius,i,,Petrikovits 1981a,Building,,"craftsman, working with small axe"
acuarius,i,,Petrikovits 1981a,Metal-Working,,manufacturer or seller of needles
acuclarius,i,,Petrikovits 1981a,Metal-Working,,manufacturer or seller of needles
acucularius,i,,Petrikovits 1981b,Metal-Working,,manufacturer or seller of a small pin for a head-dress
acutarius,i,,Petrikovits 1981a,Metal-Working,,manufacturer or seller of a pointy objects
acutiator,oris,,Petrikovits 1981a,Food-Production,,"grindworker, grindmaster"
adulterator,oris,,Petrikovits 1981a,Finance,,coin counterfeiter
aedifex,icis,,Petrikovits 1981a,Building,,builder
aedificator,oris,,Petrikovits 1981a,Building,,"builder, architect"
aeneator,oris,aeneator,Waltzing - Rome,Performing Arts,,"musician, one who blows a horn in war
"
aequator monetae,oris,aequator,Petrikovits 1981a,Finance,,"one who, in the coining of money, examines the equality of its weight, an assizer"
aerarius,i,aerarius,Waltzing - Rome,Metal-Working,,metal worker
agricola,ae,agricola,Petra's addition,Food-Production,,"a husbandman, agriculturist, ploughman, farmer, peasant"
agrimensor,oris,,Petrikovits 1981a,Miscellaneous Services,,a landsurveyor
agrimesor,oris,,Petrikovits 1981a,Miscellaneous Services,,a landsurveyor
albarius,i,,Petrikovits 1981a,Building,,"worker in stucco, a plasterer"
alicarius,i,,Petrikovits 1981a,Food-Production,,one who grinds spelt
aluminarius,i,,Petrikovits 1981a,Fuel / Raw material,,worker or seller or alum (mineral)
ampullarius,i,,Petrikovits 1981a,Household Goods,,manufacturer of ampullae (small vessels from glass and leather)
anabolicarius,i,anabolicarius,Waltzing - Rome,Transport,Maritime/water transport,one day sailor
anaglitarius,i,,Petrikovits 1981b,Plastic Arts,,"relief maker, carver"
anaglypharius,i,,Petrikovits 1981b,Plastic Arts,,"relief maker, carver"
anaglyptarius,i,,Petrikovits 1981a,Plastic Arts,,"relief maker, carver"
anellarius,i,,Petrikovits 1981b,Metal-Working,,ring maker
annellarius,i,,Petrikovits 1981a,Metal-Working,,ring maker
annonarius,i,annonarius,Waltzing - provinces,Managerial,,of or pertaining to provisions
anularius,i,anularius,Waltzing - Rome,Metal-Working,,maker of rings
apothecarius,i,apothecarius,Waltzing - Rome,Retail,,a warehouseman
apparator,oris,apparator,Waltzing - Rome,Miscellaneous Services,,one that prepares
applumbator,oris,,Petrikovits 1981a,Metal-Working,,"lead worker, solder"
adplumbator,oris,,Petrikovits 1981a,Metal-Working,,"lead worker, solder"
aquarius,i,aquarius,Waltzing - provinces,Water-Management,,"fountain worker, of water, watery, water carrier"
aquator,oris,aquator,Waltzing - provinces,Water-Management,,a water-carrier
arcarius,i,,Petrikovits 1981a,Finance,,"treasurer, a controller of public revenues"
archimagirus,i,,Petrikovits 1981a,Food-Production,,chef
architecton,nis,,Petrikovits 1981a,Building,,"a masterbuilder, architect"
architectus,i,,Petrikovits 1981a,Building,,"a master-builder, architect"
arcuarius,i,,Petrikovits 1981a,Finance,,"treasurer, a controller of public revenues"
arcularius,i,,Petrikovits 1981a,Household Goods,,"one that makes little boxes, chests"
arecarius,i,arecarius,Waltzing - provinces,Transport,Maritime/water transport,small boat owner
arenarius,i,arenarius,Waltzing - provinces,Performing Arts,,"harenarius, combatant in the amphitheatre, a gladiator"
argentarius,i,argentarius,Waltzing - Rome,Metal-Working,,"jewellery maker, banker"
armamentarius,i,,Petrikovits 1981a,Miscellaneous Services,Military,"an arsenal provider, armory keeper"
armamintarius,i,,Petrikovits 1981a,Miscellaneous Services,Military,"an arsenal provider, armory keeper"
armariarius,i,,Petrikovits 1981a,Household Goods,,cabinet maker
armilarius,i,,Petrikovits 1981a,Metal-Working,,"bracelet maker, armilla - bracelet"
armillarius,i,,Petrikovits 1981b,Metal-Working,,bracelet maker
aromatarius,i,aromatarius,Waltzing - Rome,Retail,,"seller of perfumes, spices"
artefex,icis,,Petrikovits 1981a,Plastic Arts,,"One that is master in the liberal arts,an artist, artificer"
artifex,icis,,Petrikovits 1981a,Plastic Arts,,"One that is master in the liberal arts,an artist, artificer"
asinarius,i,asinarius,Waltzing - provinces,Transport,Land transport,"a keeper of asses, an ass-driver"
assator,oris,,Petrikovits 1981a,Food-Production,,cooker
athleta,ae,athleta,Waltzing - provinces,Performing Arts,,"a wrestler, athlete, combatant in public games"
aulopoios,i,,Petrikovits 1981a,Plastic Arts,,"maker of aulos, Greek musical instrument"
aupiciarius,i,,Petrikovits 1981a,Transport,,"uncertain, related to boat"
aurarius,i,aurarius,Waltzing - provinces,Metal-Working,,gold-mine worker
aurator,oris,,Petrikovits 1981a,Metal-Working,,gilder
auricaesor,oris,,Petrikovits 1981a,Metal-Working,,manufacturer of sheet gold
auricoctor,oris,,Petrikovits 1981a,Metal-Working,,he that melts or refines gold
aurifaber,ri,,Petrikovits 1981b,Metal-Working,,goldsmith
aurifex,icis,aurifex,Waltzing - Rome,Metal-Working,,goldsmith
aurificus,i,,Petrikovits 1981a,Metal-Working,,"goldworker, goldsmith"
aurifossor,oris,,Petrikovits 1981a,Metal-Working,,gold digger
aurufex,icis,,Petrikovits 1981a,Metal-Working,,"goldworker, goldsmith"
automatarius,i,,Petrikovits 1981a,Miscellaneous Services,,a maker of automata
axearius,i,,Petrikovits 1981a,Building,,"uncertain, board-cutter"
baiulius,i,baiulius,Waltzing - Rome,Transport,Land transport,"a porter, carrier"
ballistarius,i,,Petrikovits 1981a,Miscellaneous Services,Military,"manufacturer of ballistae, an engine for hurling"
ballistrarius,i,,Petrikovits 1981a,Miscellaneous Services,Military,"manufacturer of ballistae, an engine for hurling"
baltearius,i,,Petrikovits 1981a,Miscellaneous Services,,a maker or master of sword-belts
barbaricarius,i,,Petrikovist 1981b,Clothing,,textile worker
barbaricas,atis,,Petrikovits 1981a,Clothing,,textile worker
bastagarius,i,bastagarius,Waltzing - provinces,Clothing,,a baggage-master
baxiarius,i,,Petrikovits 1981a,Clothing,Shoe maker,sandal-maker
baxearius,i,,Petrikovits 1981a,Clothing,Shoe maker,sandal-maker
biroigallus,i,,Petrikovits 1981a,Unclear meaning,,uncertain
blattiarius,i,,Petrikovits 1981a,Clothing,Colour production,manufacturer of purpur
boarius,i,boarius,Waltzing - Rome,Food-Production,,cattle breader
botularius,i,,Petrikovits 1981a,Food-Production,,manufacturer of sausages
bracarius,i,,Petrikovits 1981a,Clothing,,manufacturer of trousers
braccarius,i,,Petrikovits 1981a,Clothing,,manufacturer of trousers
bractearius,i,,Petrikovits 1981a,Metal-Working,,"goldsheet maker, worker"
bracteator,oris,,Petrikovits 1981a,Metal-Working,,"goldsheet maker, worker"
brattearius,i,,Petrikovits 1981a,Metal-Working,,"goldsheet maker, worker"
brattiarius,i,,Petrikovits 1981a,Metal-Working,,"goldsheet maker, worker"
bucaeda,ae,,Petrikovits 1981a,Food-Production,,beef butcher
buccularius,i,,Petrikovits 1981a,Metal-Working,,maker of helmet flaps
bucida,ae,,Petrikovits 1981a,Food-Production,,beef butcher
budinarius,i,,Petrikovits 1981a,Household Goods,,reed weaver
burrarius,i,,Petrikovits 1981a,Unclear meaning,,"uncertain, unspecified worker"
bustuarius,i,,Petrikovits 1981a,Death-care sector,,cremator
cabator,oris,,Petrikovits 1981a,Miscellaneous Services,,"engraver, maker of hollow spaces"
cabidarius,i,,Petrikovits 1981a,Household Goods,,"uncertain, cup maker"
caelator,oris,,Petrikovits 1981a,Plastic Arts,,"relief maker, carver"
caementarius,i,,Petrikovits 1981a,Building,Stone worker,mason
caesor,oris,,Petrikovits 1981a,Building,Stone worker,stone mason
calcarensis,ensis,,Petrikovits 1981a,Building,Stone worker,a limeburner
calcariensis,ensis,calcariensis,Waltzing - Rome,Building,Stone worker,a limeburner
calcarius,i,,Petrikovits 1981a,Building,Stone worker,limestone quarry worker
calcearius,i,,Petrikovits 1981a,Building,Stone worker,limestone quarry worker
calceator,oris,,Petrikovits 1981a,Clothing,Shoe maker,a shoemaker
calceolarius,i,,Petrikovits 1981a,Clothing,Shoe maker,a shoemaker
calciamentarius,i,,Petrikovits 1981a,Clothing,Shoe maker,a shoemaker
calciator,oris,,Petrikovits 1981a,Clothing,Shoe maker,a shoemaker
calcis coctor,oris,coctor,Waltzing - Rome,Building,Stone worker,limeburner
calegarius,i,,Petrikovits 1981a,Clothing,Shoe maker,a shoemaker
caligarius,i,caligarius,Waltzing - Rome,Clothing,Shoe maker,a shoemaker
camararius,i,,Petrikovits 1981a,Building,,vault building worker
camarius,i,,Petrikovits 1981a,Building,,vault building worker
canalicularius,i,,Petrikovits 1981a,Water-Management,,"canal constructor, specialized worker"
candelabrarius,i,,Petrikovits 1981a,Metal-Working,,"manufacturer of candelabra, lamp-stand"
candidarius,i,,Petrikovits 1981a,Food-Production,,a baker
candidator,oris,,Petrikovits 1981a,Clothing,,"uncertain, textile washer"
canephorus,i,canephorus,Waltzing,Transport,Land transport,that bears a basket
capidarius,i,,Petrikovits 1981a,Household Goods,,"uncertain, cup maker"
capistrarius,i,,Petrikovits 1981a,Household Goods,,a halter-maker
caplator,oris,caplator,Waltzing - provinces,Transport,,oil transporter
capsarius,i,,Petrikovits 1981a,Miscellaneous Services,,"healing asssitant, producer of capsae (a repository, box, bookcase)"
capulator,oris,capulator,Waltzing - Rome,Miscellaneous Services,,decanter
carbonarius,i,,Petrikovits 1981a,Fuel / Raw material,,"coal handler, worker, miner"
carbonarus,i,,Petrikovits 1981a,Fuel / Raw material,,"coal handler, worker, miner"
cartharius,i,,Petrikovits 1981a,Miscellaneous Services,,papyrus maker
carinarius,i,,Petrikovits 1981a,Clothing,Colour production,"he who colors wax-color, a dyer of yellow"
caritor,oris,,Petrikovits 1981a,Clothing,,wool worker
carminator,oris,,Petrikovits 1981a,Clothing,,"a carder, practitioner of carding, a method of preparing wool for use as a textile"
carnarius,i,,Petrikovits 1981a,Food-Production,,"butcher, meat worker, of or belonging to flesh"
carpentarius,i,,Petrikovits 1981b,Transport,Land transport,a wheelwright
carrarius,i,,Petrikovits 1981a,Transport,Land transport,"a wheelwright, cart maker"
carrocarpentarius,i,,Petrikovits 1981a,Transport,Land transport,a wheelwright
cassidarius,i,,Petrikovits 1981a,Metal-Working,,a helmet smith
catabolensis,ensis,catabolensis,Waltzing - Rome,Transport,Land transport,"a class of carriers who transport burdens by means of draught animals, a kind of muleteers"
caudicarius,i,caudicarius,Waltzing - Rome,Transport,Maritime/water transport,those who sail on such ships (esp. those who brought the corn from Ostia to Rome)
caupo,onis,,Petrikovits 1981a,Retail,,"a petty tradesman, huckster, innkeeper"
cauponarius,i,cauponarius,Waltzing - Rome,Food-Retail,,tavern keeper
cavator,oris,,Petrikovits 1981a,Miscellaneous Services,,"engraver, maker of hollow spaces"
cavidarius,i,,Petrikovits 1981a,Household Goods,,"uncertain, cup maker"
cellararius,i,,Petrikovits 1981a,Household Goods,,"one who keeps provisions, a steward, butler"
