,Primary Key,Ancient Toponym,Modern Toponym,Province,Country,Barrington Atlas Rank,Barrington Atlas Reference,Start Date,End Date,Select Bibliography,Area,Estimate Basis,Civic Status,Structure,num_of_structures,geometry,ID,level_0,Unnamed: 0_y,index,pop_sample,pop_est,pop_diff
0,Hanson2016_1,Abae,Kalapodi,Achaea,Greece,4 or 5,55 D3,-600,,BNP; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.,16.0,Walls,['Rights and privileges'],"['Acropolis', 'Agora', 'Temple of Apollo', 'Theatre', 'Walls']",5,POINT (22.933333 38.583333),1,,,,,1700.0,
1,Hanson2016_2,Acharnae,Acharnes,Achaea,Greece,3,59 B2,-600,,BNP; DGRG; PECS; Sear 2006.,,,,"['Sanctuary of Apollo Argyieus', 'Sanctuary of Hercules', 'Theatre']",3,POINT (23.734088 38.083473),2,,,,,1000.0,
2,Hanson2016_3,Acraephia,Akraifnio,Achaea,Greece,3,55 E4,-600,,BNP; DGRG; Hansen and Nielsen 2004; PECS; Sear 2006.,,,,"['Acropolis', 'Agora', 'Fountain', 'Temple of Apollo Ptous', 'Temple of Dionysus', 'Theatre', 'Walls']",7,POINT (23.219702 38.452606),3,,,,,1000.0,
3,Hanson2016_4,Aegina,Aigina,Achaea,Greece,2,59 A3,-600,,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.,52.0,Inhabited area,['Rights and privileges'],"['Shrine of Aeacus', 'Stadium', 'Temple of Aphrodite', 'Temple of Apollo', 'Temple of Apollo Thearius', 'Theatre', 'Walls', 'Walls']",8,POINT (23.4285 37.750074),4,,,,,8209.0,
4,Hanson2016_5,Aegira,Aigeira,Achaea,Greece,3,58 C1,-600,,DGRG; Hansen and Nielsen 2004.,,,,"['Acropolis', 'Agora', 'Gymnasium', 'Temple of Aphrodite Urania', 'Temple of Apollo', 'Temple of Artemis', 'Temple of Zeus', 'Theatre']",8,POINT (22.35572 38.147951),5,,,,,1000.0,
5,Hanson2016_6,Aegium,Aigio,Achaea,Greece,3,58 C1,-600,,BNP; DGRG; Hansen and Nielsen 2004; PECS; Sear 2006.,,,,"['Acropolis', 'Gymnasium', 'Sanctuary of Zeus Homagyrius or Homarius', 'Temple of Demeter Panchaea', 'Theatre', 'Walls']",6,POINT (22.081952 38.252707),6,,,,,1000.0,
6,Hanson2016_7,Ambracia,Arta,Achaea,Greece,3,54 C3,-635,-30.0,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.,130.0,Walls,,"['Acropolis', 'Agora?', 'Bridge', 'Temple', 'Temple', 'Theatre', 'Urban grid', 'Walls']",8,POINT (20.987 39.158),7,,,,,27923.0,
7,Hanson2016_8,Amphissa,Amfissa,Achaea,Greece,3,55 C3,-400,,BNP; Hansen and Nielsen 2004; PECS.,,,['Rights and privileges'],"['Acropolis', 'Agora?', 'Temple of Athena', 'Walls']",4,POINT (22.378406 38.527328),8,,,,,1000.0,
8,Hanson2016_9,Anthedon,Anthedon,Achaea,Greece,3,55 E4,-400,,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS.,30.0,Walls,,"['Acropolis', 'Agora', 'Gymnasium', 'Harbour', 'Stoa', 'Temple of Demeter and Kore', 'Temple of Dionysus', 'Temple of the Cabeiri', 'Walls']",9,POINT (23.461481 38.497543),9,,,,,3937.0,
9,Hanson2016_10,Anticyra,Palatia,Achaea,Greece,3,55 D4,-400,,BNP; DGRG; Hansen and Nielsen 2004; PECS.,,,,"['Acropolis', 'Gymnasium', 'Sanctuary of Poseidon', 'Walls']",4,POINT (22.632895 38.377588),10,,,,,1000.0,
